item,status,evidence,notes
dataset config exists,pass,/home/thanhmay/workspace/XAI-small_object_detection/data/YOLO_format/data.yaml,/home/thanhmay/workspace/XAI-small_object_detection/data/YOLO_format/data.yaml
model config exists,pass,"/home/thanhmay/workspace/XAI-small_object_detection/yolov8s-p2.yaml, /home/thanhmay/workspace/XAI-small_object_detection/config/yolov8s-p2.yaml",/home/thanhmay/workspace/XAI-small_object_detection/config/yolov8s-p2.yaml
method config exists,pass,/home/thanhmay/workspace/XAI-small_object_detection/configs/method/m8_v1c_runtime_scale_policy.yaml,/home/thanhmay/workspace/XAI-small_object_detection/configs/method/m8_v1c_runtime_scale_policy.yaml
dataset config has YOLO-required fields,pass,/home/thanhmay/workspace/XAI-small_object_detection/data/YOLO_format/data.yaml,"train=True, val_or_valid=True, nc=True, names=True"
method config represents runtime-usable M8_v1c policy,pass,/home/thanhmay/workspace/XAI-small_object_detection/configs/method/m8_v1c_runtime_scale_policy.yaml,runtime M8_v1c policy verified
runtime method integration verified,pass,/home/thanhmay/workspace/XAI-small_object_detection/config/yolov8s-p2.yaml; /home/thanhmay/workspace/XAI-small_object_detection/configs/method/m8_v1c_runtime_scale_policy.yaml,"{""applied"": true, ""reason"": ""runtime_scale_weighting_applied"", ""detect_layer_index"": 28, ""detect_input_from"": [18, 21, 24, 27], ""size_groups"": [""small"", ""large""], ""batch_debug"": [{""sample_index"": 0, ""reason"": ""dominant_group"", ""counts"": {""small"": 1}, ""resolved_group"": ""small""}, {""sample_index"": 1, ""reason"": ""dominant_group"", ""counts"": {""large"": 1}, ""resolved_group"": ""large""}], ""supported_scales"": [""P2"", ""P3"", ""P4"", ""P5""]}"
